Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest XIV ker;24 900 000 Ft;32;1;tégla;gáz - cirkó;félemelet;jó állapotú;nincs;Budapest
Tatabánya;22 500 000 Ft;50;2;tégla;távfutés;2;felújított;nincs;Komárom-Esztergom
Budapest IV ker;26 490 000 Ft;54;2;panel;központi futés;10;felújított;igen;Budapest
Budapest X ker;45 990 000 Ft;66;1 + 2;tégla;házközponti egyedi méréssel;2;újszeru (kevessebb mint 10éves);igen;Budapest
Budapest XXI ker;31 500 000 Ft;49;2;tégla;gáz (cirko);2;közepes állapotú;nem;Budapest
Budapest XI ker;25 800 000 Ft;38;0 + 2;tégla;elektromos;szuterén;jó állapotú;nem;Budapest
Budapest XV ker;28 490 000 Ft;46;1 + 1;tégla;gáz (cirko);3;jó állapotú;igen;Budapest
Budapest XIII ker;19 700 000 Ft;50;1;tégla;elektromos;szuterén;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest X ker;23 900 000 Ft;38;1;tégla;távfutés;1;felújított;nem;Budapest
Budapest XVIII ker;24 500 000 Ft;35;1 + 1;panel;távfutés;1;jó állapotú;igen;Budapest
Budapest III ker;31 500 000 Ft;57;1 + 2;panel;távfutés egyedi mérovel;5;felújított;igen;Budapest
Budapest XI ker;26 500 000 Ft;33;1;tégla;gáz (konvektor);4;jó állapotú;nem;Budapest
Budapest XX ker;21 990 000 Ft;38;1;tégla;gáz (konvektor);3;jó állapotú;nem;Budapest
Budapest XI ker;59 000 000 Ft;61;2;tégla;nincs megadva;1;nincs megadva;nincs;Budapest
Budapest XI ker;49 900 000 Ft;50;2 + 1;tégla;gáz (konvektor);földszint;jó állapotú;NA;Budapest
Budapest III ker;33 900 000 Ft;69;3;panel;központi futés;10;jó;igen;Budapest
Budapest III ker;53 900 000 Ft;85;3;panel;házközponti egyedi méréssel;1;jó állapotú;nem;Budapest
Budapest III ker;27 000 000 Ft;48;1 + 1;panel;távfutés;6;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XVIII ker;30 900 000 Ft;55;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XIII ker;47 990 000 Ft;45;2;tégla;központi futés;4;új építésu;igen;Budapest
Budapest XIV ker;31 900 000 Ft;46;1 + 1;panel;távfutés;10;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XVIII ker;25 900 000 Ft;49;2;tégla;gáz (konvektor);3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest X ker;27 500 000 Ft;48;2;tégla;gáz (konvektor);1;jó állapotú;nem;Budapest
Gyor;26 980 000 Ft;62;2 + 1;panel;távfutés;9;nincs megadva;van;Gyor-Moson-Sopron
Budapest X ker;23 900 000 Ft;38;1;tégla;távfutés;1;felújított;NA;Budapest
Budapest III ker;32 000 000 Ft;57;1 + 2;panel;házközponti egyedi méréssel;5;jó állapotú;igen;Budapest
Budapest XIII ker;46 990 000 Ft;45;2;tégla;központi futés;3;kiváló;igen;Budapest
Budapest X ker;27 990 000 Ft;57;2;panel;gáz (cirko);4;jó állapotú;nem;Budapest
Budapest XIV ker;35 900 000 Ft;49;2;csúszózsalusbeton;távfutés;3;felújítandó;nem;Budapest
Budapest VII ker;57 000 000 Ft;103;3;tégla;gáz - héra;2;nincs megadva;nincs;Budapest
Budapest VIII ker;31 900 000 Ft;59;1 + 1;tégla;gáz (cirko);3;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest V ker;130 000 000 Ft;125;3 + 1;tégla;központi futés;1;felújított;igen;Budapest
Budapest XV ker;28 490 000 Ft;46;1 + 1;tégla;gáz (cirko);3;jó állapotú;igen;Budapest
Budapest III ker;53 900 000 Ft;85;3;panel;házközponti egyedi méréssel;1;jó állapotú;NA;Budapest
Budapest XIV ker;29 000 000 Ft;48;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XI ker;46 900 000 Ft;63;2;tégla;gáz - cirko;2;nincs megadva;van;Budapest
Budapest VIII ker;94 990 000 Ft;104;3;tégla;gáz - cirko;2;nincs megadva;van;Budapest
Siófok;119 000 000 Ft;110;4;tégla;cirkó;3;kiváló;igen;Somogy
Budapest XIV ker;29 900 000 Ft;46;1 + 1;panel;házközponti futés;8;jó állapotú;igen;Budapest
Budapest XIII ker;31 900 000 Ft;28;1;tégla;házközponti egyedi méréssel;5;jó állapotú;igen;Budapest
Tata;22 000 000 Ft;53;2;tégla;elektromos;3;nincs megadva;nincs;Komárom-Esztergom
Budapest XI ker;49 900 000 Ft;50;2 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VIII ker;99 800 000 Ft;104;2 + 2;tégla;házközponti futés;nincs megadva;újszeru (kevessebb mint 10éves);NA;Budapest
Budapest VIII ker;36 000 000 Ft;61;1 + 1;tégla;gáz (konvektor);3;jó állapotú;NA;Budapest
Sopron;22 900 000 Ft;58;2;tégla;gáz (konvektor);1;közepes állapotú;NA;Gyor-Moson-Sopron
Vác;34 900 000 Ft;47;2;tégla;cirkó;2;kiváló;NA;Pest
Budapest VII ker;29 500 000 Ft;40;2;tégla;elektromos;nincs megadva;felújított;NA;Budapest
Budapest VIII ker;17 900 000 Ft;30;1;tégla;gáz - konvektor;2;nincs megadva;nincs;Budapest
Budapest III ker;33 900 000 Ft;49;2;panel;központi futés;3;felújított;igen;Budapest
Budapest III ker;31 500 000 Ft;57;1 + 2;panel;távfutés egyedi mérovel;5;felújított;igen;Budapest
Budapest XX ker;18 500 000 Ft;35;2;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest XIV ker;39 990 000 Ft;65;1 + 2;tégla;gáz (cirko);szuterén;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XVIII ker;38 900 000 Ft;58;2;tégla;házközponti egyedi méréssel;2;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XX ker;26 000 000 Ft;66;2 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XIV ker;63 000 000 Ft;105;3 + 2;tégla;házközponti egyedi méréssel;6;jó állapotú;igen;Budapest
