Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest IX ker;45 990 000 Ft;65;1 + 1;tégla;egyéb;1;új építésu;igen;Budapest
Kazincbarcika;9 500 000 Ft;52;2;panel;távfutés egyedi mérovel;4;közepes állapotú;nem;Borsod-Abaúj-Zemplén
Budapest XII ker;79 900 000 Ft;104;4 + 1;tégla;gáz (cirko);földszint;közepes állapotú;NA;Budapest
Budapest IX ker;56 600 000 Ft;62;2 + 1;tégla;házközponti egyedi méréssel;3;jó állapotú;igen;Budapest
Budapest XIX ker;30 990 000 Ft;53;1 + 1;panel;távfutés egyedi mérovel;9;felújított;igen;Budapest
Budapest III ker;78 300 000 Ft;101;2 + 1;tégla;gáz (cirko);nincs megadva;felújított;NA;Budapest
Budapest VII ker;50 000 000 Ft;76;2 + 1;tégla;gáz (konvektor);3;közepes állapotú;nem;Budapest
Budapest XIV ker;44 900 000 Ft;58;2 + 1;tégla;házközponti egyedi méréssel;1;felújított;nem;Budapest
Budapest I ker;99 900 000 Ft;100;3;tégla;gáz (cirko);félemelet;felújított;igen;Budapest
Budapest IX ker;27 000 000 Ft;30;1;tégla;gáz;1;felújított;NA;Budapest
Budapest III ker;34 900 000 Ft;51;2 + 1;panel;távfutés egyedi mérovel;9;felújított;igen;Budapest
Budapest VI ker;450 000 000 Ft;450;13;tégla;gáz (cirko);1;felújított;NA;Budapest
Budapest III ker;34 900 000 Ft;51;2 + 1;panel;távfutés egyedi mérovel;9;felújított;igen;Budapest
Budapest VI ker;450 000 000 Ft;450;13;tégla;gáz (cirko);1;felújított;nem;Budapest
Budapest XI ker;86 000 000 Ft;94;4;tégla;gáz (cirko);1;új építésu;nem;Budapest
Budapest XIV ker;14 500 000 Ft;26;1;tégla;elektromos;földszint;közepes állapotú;nem;Budapest
Budapest XVI ker;58 500 000 Ft;78;3;tégla;egyéb;nincs megadva;jó állapotú;NA;Budapest
Budapest VII ker;20 500 000 Ft;24;1;tégla;gáz (konvektor);földszint;felújítandó;nem;Budapest
Debrecen;60 000 000 Ft;113;2 + 4;tégla;távfutés egyedi mérovel;földszint;nincs megadva;NA;Hajdú-Bihar
Szentendre;37 900 000 Ft;55;2;tégla;házközponti egyedi méréssel;nincs megadva;felújított;NA;Pest
Budapest VII ker;20 500 000 Ft;24;1;tégla;gáz (konvektor);földszint;felújítandó;NA;Budapest
Budapest XI ker;211 200 000 Ft;107;3;tégla;egyéb;tetotér;új építésu;igen;Budapest
Budapest I ker;99 900 000 Ft;100;3;tégla;gáz (cirko);félemelet;felújított;igen;Budapest
Budapest III ker;27 900 000 Ft;42;1;tégla;elektromos;nincs megadva;felújított;NA;Budapest
Budapest III ker;49 900 000 Ft;66;2 + 1;tégla;nincs megadva;nincs megadva;felújított;NA;Budapest
Budapest XIV ker;65 900 000 Ft;58;3;tégla;elektromos;földszint;felújított;NA;Budapest
Budapest XIV ker;44 900 000 Ft;58;2 + 1;tégla;házközponti egyedi méréssel;1;felújított;NA;Budapest
Budapest XI ker;177 700 000 Ft;90;3;tégla;egyéb;földszint;új építésu;igen;Budapest
Eger;19 200 000 Ft;55;2;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Heves
Budapest XIV ker;65 900 000 Ft;58;3;tégla;elektromos;földszint;felújított;nem;Budapest
Budapest VI ker;64 900 000 Ft;71;2 + 1;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest IV ker;33 900 000 Ft;41;1;tégla;egyéb;nincs megadva;nincs megadva;nincs;Budapest
Budapest XIV ker;14 500 000 Ft;26;1;tégla;elektromos;földszint;közepes állapotú;NA;Budapest
Budapest VII ker;59 900 000 Ft;80;3;tégla;gáz (cirko);1;jó állapotú;nem;Budapest
Budapest IV ker;58 900 000 Ft;113;4;panel;távfutés egyedi mérovel;nincs megadva;jó állapotú;NA;Budapest
Budapest VI ker;71 900 000 Ft;94;2;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Budapest VI ker;28 900 000 Ft;38;1 + 1;tégla;gáz (konvektor);3;közepes állapotú;nem;Budapest
Dunaújváros;16 950 000 Ft;52;0 + 2;panel;távfutés egyedi mérovel;7;nincs megadva;van;Fejér
Budapest XVIII ker;25 400 000 Ft;49;1 + 1;csúsztatott zsalus;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Kaposvár;13 990 000 Ft;40;1 + 1;panel;távfutés egyedi mérovel;3;felújított;igen;Somogy
Budapest XI ker;76 900 000 Ft;135;3 + 1;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Budapest VI ker;28 900 000 Ft;38;1 + 1;tégla;gáz (konvektor);3;közepes állapotú;NA;Budapest
Budapest VII ker;59 900 000 Ft;80;3;tégla;gáz (cirko);1;jó állapotú;NA;Budapest
Budapest X ker;35 500 000 Ft;72;2 + 1;panel;távfutés egyedi mérovel;8;közepes állapotú;igen;Budapest
Budapest XI ker;242 800 000 Ft;123;5;tégla;egyéb;földszint;új építésu;igen;Budapest
Pécs;20 900 000 Ft;63;3;panel;távfutés;nincs megadva;nincs megadva;van;Baranya
Budapest II ker;269 250 000 Ft;235;1 + 2;tégla;egyéb;nincs megadva;új építésu;NA;Budapest
Budapest XIV ker;59 500 000 Ft;68;3;tégla;házközponti egyedi mérovel;2;nincs megadva;van;Budapest
Budapest VIII ker;41 050 000 Ft;31;2;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;27 900 000 Ft;47;2;tégla;házközponti futés;nincs megadva;jó állapotú;NA;Budapest
Vác;32 000 000 Ft;63;3;tégla;gáz - konvektor;1;nincs megadva;nincs;Pest
Budapest VIII ker;36 800 000 Ft;40;2;tégla;házközponti egyedi méréssel;5;újszeru;igen;Budapest
Budapest IV ker;31 000 000 Ft;71;2 + 1;panel;távfutés egyedi mérovel;nincs megadva;jó állapotú;NA;Budapest
Budapest VII ker;67 000 000 Ft;77;2;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Budapest V ker;103 900 000 Ft;69;2 + 1;tégla;házközponti;1;nincs megadva;nincs;Budapest
Budapest VIII ker;36 800 000 Ft;40;2;tégla;házközponti egyedi méréssel;5;újszeru;igen;Budapest
Budapest XIII ker;57 900 000 Ft;84;2 + 2;tégla;házközponti egyedi mérovel;2;nincs megadva;van;Budapest
Hévíz;67 089 000 Ft;94;3 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Zala
Miskolc;12 990 000 Ft;55;2;panel;távfutés;3;nincs megadva;van;Borsod-Abaúj-Zemplén
Pécs;14 900 000 Ft;52;2;tégla;gáz (konvektor);3;felújított;nem;Baranya
Budapest VIII ker;56 900 000 Ft;86;3;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Miskolc;14 900 000 Ft;50;2;panel;távfutés;4;nincs megadva;nincs;Borsod-Abaúj-Zemplén
Budapest VIII ker;52 000 000 Ft;84;1 + 3;tégla;gáz (cirko);nincs megadva;felújított;NA;Budapest
Budapest VIII ker;43 800 000 Ft;64;2 + 1;tégla;elektromos;nincs megadva;újszeru (kevessebb mint 10éves);NA;Budapest
Barcs;4 900 000 Ft;56;2;tégla;gáz - konvektor;2;nincs megadva;nincs;Somogy
Kecskemét;19 700 000 Ft;56;2;panel;gáz - konvektor;4;nincs megadva;nincs;Bács-Kiskun
Budapest IV ker;29 900 000 Ft;60;2;tégla;gáz (cirko);nincs megadva;felújított;NA;Budapest
Budapest XV ker;26 900 000 Ft;55;1 + 2;panel;távfutés egyedi mérovel;nincs megadva;jó állapotú;NA;Budapest
Budapest IV ker;36 990 000 Ft;65;1 + 1;tégla;gáz (cirko);nincs megadva;újszeru (kevessebb mint 10éves);NA;Budapest
Budapest XIII ker;25 500 000 Ft;19;1;tégla;elektromos;1;nincs megadva;van;Budapest
Budapest VIII ker;117 000 000 Ft;149;5 + 2;tégla;gáz - cirko;nincs megadva;nincs megadva;van;Budapest
Miskolc;12 000 000 Ft;35;1 + 1;panel;távfutés;9;nincs megadva;van;Borsod-Abaúj-Zemplén
Debrecen;19 800 000 Ft;35;1 + 1;panel;távfutés egyedi mérovel;1;nincs megadva;van;Hajdú-Bihar
Budapest VI ker;74 900 000 Ft;71;3 + 2;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Gyor;27 980 000 Ft;59;2;tégla;gáz - cirko;3;nincs megadva;nincs;Gyor-Moson-Sopron
Budapest XV ker;73 900 000 Ft;134;5;tégla;gáz (cirko);nincs megadva;új építésu;NA;Budapest
Budapest IX ker;21 000 000 Ft;34;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Budapest V ker;90 292 738 Ft;67;3;tégla;házközponti futés;1;felújított;igen;Budapest
Budapest V ker;107 812 224 Ft;80;3;tégla;gáz (cirko);1;felújított;igen;Budapest
Budapest VIII ker;70 900 000 Ft;93;3;tégla;gáz (konvektor);nincs megadva;jó állapotú;NA;Budapest
Budapest IX ker;57 500 000 Ft;93;3;tégla;házközponti;4;nincs megadva;nincs;Budapest
Budapest V ker;332 537 920 Ft;80;3;tégla;gáz (cirko);4;felújított;igen;Budapest
Budapest IV ker;36 900 000 Ft;71;2 + 1;panel;távfutés;nincs megadva;jó állapotú;NA;Budapest
Székesfehérvár;46 000 000 Ft;87;1 + 2;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Fejér
Budapest V ker;91 145 621 Ft;67;3;tégla;házközponti futés;1;felújított;igen;Budapest
Budapest V ker;129 000 000 Ft;85;2 + 1;tégla;elektromos;1;nincs megadva;van;Budapest
Budapest V ker;108 830 592 Ft;80;3;tégla;gáz (cirko);1;felújított;igen;Budapest
Szolnok;13 500 000 Ft;37;1 + 1;tégla;gáz (cirko);3;jó állapotú;NA;Jász-Budapestgykun-Szolnok
Kaposvár;19 900 000 Ft;60;2;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Somogy
Budapest V ker;329 426 240 Ft;80;3;tégla;gáz (cirko);4;felújított;igen;Budapest
Budapest VIII ker;55 800 000 Ft;103;3 + 1;tégla;gáz (cirko);nincs megadva;felújított;NA;Budapest
Budapest XIX ker;73 900 000 Ft;82;3;tégla;gáz (cirko);1;nincs megadva;NA;Budapest
Budapest XIII ker;89 900 000 Ft;149;3 + 1;tégla;házközponti egyedi mérovel;4;nincs megadva;van;Budapest
Budapest XIII ker;74 900 000 Ft;105;3 + 1;tégla;távfutés;3;nincs megadva;van;Budapest
Budapest VII ker;32 500 000 Ft;31;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Budapest XI ker;69 900 000 Ft;57;2 + 1;tégla;egyéb;1;új építésu;nem;Budapest
Budapest XI ker;75 000 000 Ft;57;2 + 1;tégla;egyéb;1;új építésu;nem;Budapest
Budapest XI ker;174 000 000 Ft;115;4 + 1;tégla;egyéb;földszint;új építésu;nem;Budapest
Budapest XI ker;75 000 000 Ft;84;3;tégla;gáz - cirko;4;nincs megadva;nincs;Budapest
Pécs;23 900 000 Ft;62;1 + 2;tégla;gáz - cirko;3;nincs megadva;nincs;Baranya
Budapest I ker;47 390 000 Ft;53;1;tégla;gáz;1;felújított;igen;Budapest
Budapest XI ker;42 900 000 Ft;75;3;panel;távfutés egyedi mérovel;nincs megadva;jó állapotú;NA;Budapest
Budapest IV ker;27 990 000 Ft;35;1 + 1;panel;távfutés egyedi mérovel;1;nincs megadva;van;Budapest
Balatonfüred;23 900 000 Ft;70;3;tégla;gáz (cirko);1;felújított;nem;Veszprém
Budapest IX ker;36 900 000 Ft;57;1 + 2;tégla;elektromos;2;nincs megadva;NA;Budapest
Balatonfüred;10 900 000 Ft;100;1;tégla;egyéb;tetotér;építés alatt;nem;Veszprém
Békéscsaba;11 500 000 Ft;39;1;tégla;gáz (konvektor);3;jó állapotú;nem;Békés
Debrecen;20 300 000 Ft;31;1;tégla;távfutés;4;nincs megadva;NA;Hajdú-Bihar
Budapest III ker;94 000 000 Ft;102;3 + 1;tégla;gáz - cirko;4;nincs megadva;van;Budapest
Budapest II ker;68 900 000 Ft;89;1 + 2;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Budapest XII ker;365 000 000 Ft;275;9;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Baja;11 450 000 Ft;70;3;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Bács-Kiskun
Budapest X ker;35 500 000 Ft;54;2;tégla;távfutés;2;nincs megadva;igen;Budapest
Budapest IX ker;69 000 000 Ft;53;4;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Miskolc;11 700 000 Ft;28;1;panel;távfutés egyedi mérovel;10;felújított;igen;Borsod-Abaúj-Zemplén
Budapest IX ker;50 360 000 Ft;50;1 + 1;tégla;egyéb;1;új építésu;igen;Budapest
Budapest XII ker;89 000 000 Ft;89;1 + 4;tégla;házközponti egyedi mérovel;1;nincs megadva;van;Budapest
Budapest VII ker;54 900 000 Ft;73;2 + 1;tégla;gáz (cirko);2;felújított;nem;Budapest
Budapest IX ker;65 000 000 Ft;75;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VII ker;84 600 000 Ft;94;3 + 1;tégla;egyéb;1;nincs megadva;van;Budapest
Budapest IX ker;61 000 000 Ft;79;3;tégla;gáz (cirko);1;jó állapotú;igen;Budapest
Budapest VII ker;54 900 000 Ft;73;2 + 1;tégla;gáz (cirko);2;felújított;NA;Budapest
Budapest IX ker;62 500 000 Ft;71;2 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Debrecen;22 300 000 Ft;37;2;tégla;távfutés egyedi mérovel;1;nincs megadva;van;Hajdú-Bihar
Budapest VII ker;93 900 000 Ft;125;6 + 1;tégla;gáz (cirko);2;jó állapotú;igen;Budapest
Miskolc;14 000 000 Ft;55;2;panel;távfutés;5;nincs megadva;van;Borsod-Abaúj-Zemplén
Budapest III ker;139 000 000 Ft;91;2 + 2;tégla;egyéb;1;új építésu;igen;Budapest
Budapest VII ker;57 900 000 Ft;101;3 + 1;tégla;gáz - cirko;3;nincs megadva;nincs;Budapest
Budapest IX ker;82 990 000 Ft;94;2;tégla;házközponti egyedi méréssel;9;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VII ker;93 900 000 Ft;125;6 + 1;tégla;gáz (cirko);2;jó állapotú;igen;Budapest
Budapest IX ker;82 900 000 Ft;130;2 + 2;csúszózsalusbeton;házközponti futés;6;új építésu;igen;Budapest
Hévíz;57 908 400 Ft;81;3 + 1;tégla;elektromos;1;nincs megadva;nincs;Zala
Kaposvár;58 652 460 Ft;105;4;tégla;gáz (cirko);1;építés alatt;igen;Somogy
Kaposvár;43 909 505 Ft;83;1 + 3;tégla;gáz (cirko);1;építés alatt;igen;Somogy
Hévíz;58 261 500 Ft;82;2 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Zala
Miskolc;11 900 000 Ft;64;2 + 1;panel;távfutés;nincs megadva;nincs megadva;van;Borsod-Abaúj-Zemplén
Budapest XIX ker;34 500 000 Ft;63;2 + 1;panel;távfutés egyedi mérovel;nincs megadva;nincs megadva;van;Budapest
Budapest IX ker;95 000 000 Ft;85;3 + 1;tégla;házközponti egyedi méréssel;1;felújított;igen;Budapest
Komárom;19 990 000 Ft;49;2;tégla;távfutés egyedi mérovel;2;jó állapotú;nem;Komárom-Esztergom
Budapest XII ker;65 600 000 Ft;56;2 + 1;tégla;gáz (cirko);2;felújított;nem;Budapest
Budapest VI ker;109 900 000 Ft;107;3 + 1;tégla;gáz (cirko);3;nincs megadva;igen;Budapest
Budapest I ker;125 000 000 Ft;99;3 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;van;Budapest
Budapest XI ker;69 500 000 Ft;87;2 + 1;tégla;gáz - cirko;5;nincs megadva;van;Budapest
Budapest IX ker;95 000 000 Ft;85;3 + 1;tégla;házközponti egyedi méréssel;1;felújított;igen;Budapest
Budapest VIII ker;42 900 000 Ft;62;2;tégla;gáz (cirko);3;jó állapotú;NA;Budapest
Budapest I ker;165 000 000 Ft;90;2 + 1;tégla;gáz (cirko);4;felújított;igen;Budapest
Budapest VII ker;42 900 000 Ft;40;1 + 1;tégla;gáz - konvektor;2;nincs megadva;nincs;Budapest
Budapest VIII ker;42 900 000 Ft;62;2;tégla;gáz (cirko);3;jó állapotú;nem;Budapest
Budapest XIII ker;28 900 000 Ft;35;1;tégla;házközponti egyedi méréssel;1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;25 990 000 Ft;32;1;tégla;gáz (cirko);4;felújítandó;igen;Budapest
Debrecen;27 700 000 Ft;84;4;panel;távfutés egyedi mérovel;félemelet;felújított;igen;Hajdú-Bihar
Siófok;30 990 000 Ft;90;1 + 2;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Somogy
Budapest XIV ker;23 900 000 Ft;38;1;tégla;gáz (cirko);szuterén;közepes állapotú;nem;Budapest
Budapest X ker;21 200 000 Ft;35;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest VIII ker;32 000 000 Ft;45;1 + 1;tégla;gáz (konvektor);földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XV ker;33 000 000 Ft;53;1 + 2;panel;távfutés;1;jó állapotú;igen;Budapest
Balatonlelle;32 000 000 Ft;93;3 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Somogy
Budapest XIV ker;26 900 000 Ft;45;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest XIV ker;36 600 000 Ft;50;2;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest III ker;32 700 000 Ft;52;2;panel;távfutés;1;közepes állapotú;igen;Budapest
Debrecen;27 700 000 Ft;84;4;panel;távfutés egyedi mérovel;félemelet;felújított;igen;Hajdú-Bihar
Budapest XIV ker;60 000 000 Ft;112;3 + 1;tégla;gáz (cirko);2;jó állapotú;nem;Budapest
Kecskemét;14 800 000 Ft;38;1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Bács-Kiskun
Budapest II ker;126 000 000 Ft;212;3 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest V ker;36 500 000 Ft;32;1;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Kecskemét;18 500 000 Ft;60;1 + 2;panel;távfutés;5;nincs megadva;nincs;Bács-Kiskun
Budapest II ker;33 900 000 Ft;32;1;tégla;gáz (konvektor);3;felújított;NA;Budapest
Budapest II ker;33 900 000 Ft;32;1;tégla;gáz (konvektor);3;felújított;nem;Budapest
Pécs;21 900 000 Ft;73;2;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Baranya
Balatonlelle;25 000 000 Ft;75;3;tégla;elektromos;nincs megadva;nincs megadva;nincs;Somogy
Budapest VIII ker;29 900 000 Ft;33;3;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Budapest VI ker;36 000 000 Ft;46;1;tégla;gáz - konvektor;1;nincs megadva;nincs;Budapest
Budapest II ker;69 900 000 Ft;89;3 + 1;tégla;cirkó;2;átlagos;NA;Budapest
Makó;13 900 000 Ft;56;2;panel;távfutés egyedi mérovel;nincs megadva;nincs megadva;nincs;Csongrád
Nyíregyháza;15 500 000 Ft;54;2;tégla;központi futés;4;átlagos;NA;Szabolcs-Szatmár-Bereg
Budapest XX ker;33 900 000 Ft;50;2;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Budapest XV ker;25 300 000 Ft;47;2;panel;távfutés;földszint;jó állapotú;igen;Budapest
Budapest V ker;81 000 000 Ft;101;3 + 1;tégla;gáz - héra;2;nincs megadva;van;Budapest
Budapest V ker;109 000 000 Ft;95;3 + 1;tégla;házközponti futés;3;újszeru;igen;Budapest
Veszprém;32 500 000 Ft;56;1 + 2;tégla;geotermikus;nincs megadva;nincs megadva;nincs;Veszprém
Siófok;30 000 000 Ft;86;3;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Somogy
Budapest XIV ker;22 900 000 Ft;34;1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Budapest
Budapest IV ker;35 100 000 Ft;54;2;tégla;gáz (konvektor);2;jó állapotú;igen;Budapest
Budapest IX ker;79 000 000 Ft;83;3;tégla;házközponti egyedi méréssel;4;újszeru;igen;Budapest
Budapest III ker;33 500 000 Ft;34;1;tégla;gáz - konvektor;2;nincs megadva;nincs;Budapest
Gyöngyös;15 500 000 Ft;55;2;csúsztatott zsalus;távfutés egyedi mérovel;10;nincs megadva;van;Heves
Eger;52 900 000 Ft;79;1 + 2;tégla;gáz - cirko;2;nincs megadva;nincs;Heves
Kiskorös;13 200 000 Ft;53;2;panel;gáz - cirko;4;nincs megadva;nincs;Bács-Kiskun
Budapest X ker;108 000 000 Ft;79;2 + 1;tégla;házközponti egyedi mérovel;5;nincs megadva;van;Budapest
Budapest XVI ker;33 900 000 Ft;60;1 + 1;tégla;egyéb;tetotér;jó állapotú;nem;Budapest
Budapest XVI ker;33 900 000 Ft;60;1 + 1;tégla;egyéb;1;jó állapotú;NA;Budapest
Makó;7 800 000 Ft;43;1 + 1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Csongrád
Budapest XIX ker;27 900 000 Ft;59;1 + 2;panel;távfutés;1;nincs megadva;van;Budapest
Miskolc;14 500 000 Ft;61;2;tégla;gáz - konvektor;2;nincs megadva;nincs;Borsod-Abaúj-Zemplén
Budapest XII ker;48 300 000 Ft;61;2;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Budapest IV ker;45 000 000 Ft;82;3;tégla;gáz (cirko);1;újszeru;nem;Budapest
Budapest III ker;42 500 000 Ft;78;4;panel;távfutés;6;nincs megadva;van;Budapest
Eger;15 500 000 Ft;51;2;panel;távfutés egyedi mérovel;4;nincs megadva;van;Heves
Debrecen;20 900 000 Ft;53;1 + 2;panel;távfutés;10;nincs megadva;van;Hajdú-Bihar
Szeged;22 900 000 Ft;36;1 + 1;tégla;gáz (cirko);földszint;felújított;nem;Csongrád
Budapest XIII ker;50 000 000 Ft;63;1;tégla;gáz - cirko;nincs megadva;nincs megadva;van;Budapest
Tatabánya;13 000 000 Ft;53;2;- nem meghatározott -;központi futés;földszint;jó;NA;Komárom-Esztergom
Budapest IV ker;42 000 000 Ft;82;3;tégla;gáz (cirko);1;jó állapotú;nem;Budapest
Szolnok;17 500 000 Ft;56;2;tégla;gáz (konvektor);2;felújított;NA;Jász-Budapestgykun-Szolnok
Budapest IV ker;35 100 000 Ft;54;2;tégla;gáz (konvektor);2;felújítandó;igen;Budapest
Budapest VII ker;99 500 000 Ft;86;3;tégla;gáz (cirko);4;felújított;igen;Budapest
Szolnok;17 500 000 Ft;56;2 + 1;tégla;gáz (konvektor);2;felújított;nem;Jász-Budapestgykun-Szolnok
Budapest XX ker;49 245 000 Ft;66;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Nagykanizsa;21 800 000 Ft;103;2 + 2;tégla;gáz - cirko;1;nincs megadva;nincs;Zala
Budapest XI ker;33 700 000 Ft;48;2;nincs megadva;távfutés egyedi mérovel;3;jó állapotú;nem;Budapest
Budapest XII ker;43 400 000 Ft;56;2;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Budapest XX ker;53 700 000 Ft;72;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest XX ker;49 852 000 Ft;66;2;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest XI ker;109 483 500 Ft;104;4;tégla;egyéb;1;építés alatt;nem;Budapest
Budapest VI ker;168 000 000 Ft;192;5;tégla;gáz (cirko);1;felújított;igen;Budapest
Sopron;25 900 000 Ft;60;1 + 2;nincs megadva;távfutés egyedi mérovel;3;jó állapotú;nem;Gyor-Moson-Sopron
Budapest VIII ker;22 900 000 Ft;38;1;tégla;gáz (konvektor);2;felújított;nem;Budapest
Kaposvár;22 900 000 Ft;93;3;tégla;gáz (cirko);tetotér;újszeru;nem;Somogy
Budapest VIII ker;31 999 000 Ft;57;2;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Szolnok;17 500 000 Ft;56;2 + 1;tégla;gáz (konvektor);2;felújított;NA;Jász-Budapestgykun-Szolnok
Kiskunhalas;12 900 000 Ft;83;3;nincs megadva;gáz - cirko;nincs megadva;nincs megadva;nincs;Bács-Kiskun
Budapest VI ker;168 000 000 Ft;192;5;tégla;gáz (cirko);1;felújított;igen;Budapest
Budapest XIV ker;61 700 000 Ft;86;1 + 2;tégla;házközponti egyedi mérovel;2;nincs megadva;nincs;Budapest
Budapest IV ker;35 100 000 Ft;54;2;tégla;gáz (konvektor);2;felújítandó;igen;Budapest
Budapest IX ker;76 000 000 Ft;76;2;tégla;gáz (cirko);2;újszeru (kevessebb mint 10éves);NA;Budapest
Budapest VI ker;42 500 000 Ft;53;2;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest XX ker;49 245 000 Ft;66;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest XI ker;31 900 000 Ft;31;1;csúsztatott zsalus;távfutés egyedi mérovel;10 felett;nincs megadva;van;Budapest
Budapest XX ker;53 700 000 Ft;72;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;49 900 000 Ft;70;4;tégla;elektromos;nincs megadva;nincs megadva;nincs;Budapest
Budapest XX ker;49 852 000 Ft;66;2;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;22 900 000 Ft;38;1;tégla;gáz (konvektor);2;felújított;NA;Budapest
Sopron;26 500 000 Ft;69;3;tégla;gáz (cirko);magasföldszint;jó állapotú;nem;Gyor-Moson-Sopron
Budapest XXI ker;22 900 000 Ft;54;2;tégla;házközponti futés;4;közepes állapotú;NA;Budapest
Budapest XXI ker;22 900 000 Ft;54;2;tégla;házközponti futés;4;közepes állapotú;nem;Budapest
Budapest IV ker;32 000 000 Ft;54;1 + 2;panel;házközponti futés;4;felújított;nem;Budapest
Budapest XI ker;63 900 000 Ft;70;2 + 1;tégla;központi futés;1;újszeru;igen;Budapest
Budapest XI ker;43 500 000 Ft;41;1 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Siófok;31 900 000 Ft;41;1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Somogy
Budapest IV ker;32 000 000 Ft;54;1 + 2;panel;házközponti futés;4;felújított;NA;Budapest
Budapest VIII ker;64 800 000 Ft;74;1 + 3;tégla;gáz (cirko);1;felújított;nem;Budapest
Budapest XIII ker;37 500 000 Ft;51;2;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Dunaújváros;13 500 000 Ft;47;1 + 1;panel;távfutés;1;nincs megadva;nincs;Fejér
Budapest VI ker;52 700 000 Ft;47;1 + 1;tégla;gáz - cirko;5;nincs megadva;van;Budapest
Budapest XIII ker;37 500 000 Ft;51;2;tégla;gáz (konvektor);2;jó állapotú;NA;Budapest
Budapest XIX ker;29 900 000 Ft;59;1 + 2;panel;távfutés;6;nincs megadva;van;Budapest
Kazincbarcika;8 600 000 Ft;51;1 + 1;panel;távfutés;9;nincs megadva;van;Borsod-Abaúj-Zemplén
Kiskunfélegyháza;24 100 000 Ft;75;3;csúsztatott zsalus;házközponti egyedi mérovel;2;nincs megadva;nincs;Bács-Kiskun
Budapest XI ker;65 900 000 Ft;79;3 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest VI ker;71 900 000 Ft;78;1 + 2;tégla;gáz - cirko;5;nincs megadva;van;Budapest
