"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"42","Budapest XIII ker",31900,45,"1","tégla","gaz",4,"közepes állapotú","1","Budapest",1,0,"Budapest"
"43","Budapest XIV ker",30000,34,"1","tégla","gaz",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"44","Budapest XIII ker",31500,33,"1","tégla","kozponti",4,"felújított","1","Budapest",1,0,"Budapest"
"45","Budapest XIII ker",31500,33,"1","tégla","kozponti",4,"felújított","1","Budapest",1,0,"Budapest"
"46","Budapest IX ker",35900,33,"1","tégla","gaz",4,"jó állapotú","0","Budapest",1,0,"Budapest"
"47","Budapest IX ker",25900,28,"1","panel","kozponti",4,"felújított","1","Budapest",1,0,"Budapest"
"48","Miskolc",8400,28,"1","panel","tavfutes",4,"jó állapotú","0","Borsod-Abaúj-Zemplén",1,0,"Eszak_Magyarorszag"
"49","Budapest IV ker",22800,36,"1","panel","tavfutes",4,"közepes állapotú","0","Budapest",1,0,"Budapest"
"50","Budapest XIII ker",20990,27,"1","panel","tavfutes",4,"közepes állapotú","0","Budapest",1,0,"Budapest"
"51","Budapest XIII ker",31900,45,"1","tégla","gaz",4,"közepes állapotú","1","Budapest",1,0,"Budapest"
"52","Budapest VIII ker",31500,32,"1","tégla","kozponti",4,"újszerű","1","Budapest",1,0,"Budapest"
"53","Budapest VIII ker",25990,25,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"54","Budapest VIII ker",22990,22,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"55","Budapest VIII ker",25500,41,"1","tégla","gaz",4,"jó állapotú","0","Budapest",1,0,"Budapest"
"56","Budapest VIII ker",25990,32,"1","tégla","gaz",4,"közepes állapotú","1","Budapest",1,0,"Budapest"
"57","Budapest VIII ker",22990,22,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"58","Budapest VIII ker",25990,25,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"59","Budapest VIII ker",22990,22,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"60","Budapest VIII ker",25990,25,"1","tégla","villany",4,"felújított","1","Budapest",1,0,"Budapest"
"61","Miskolc",12607.5,34,"1","tégla","kozponti",4,"új építésű","1","Borsod-Abaúj-Zemplén",1,0,"Eszak_Magyarorszag"
"62","Budapest VIII ker",21900,33,"1","tégla","gaz",4,"jó állapotú","0","Budapest",1,0,"Budapest"
"63","Budapest VI ker",32990,40,"1","tégla","gaz",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"64","Budapest VIII ker",25990,32,"1","tégla","gaz",4,"felújítandó","1","Budapest",1,0,"Budapest"
"65","Budapest II ker",39990,54,"1","tégla","villany",4,"újszerű","1","Budapest",1,0,"Budapest"
"66","Budapest X ker",30900,30,"1","tégla","kozponti",4,"újszerű","1","Budapest",1,0,"Budapest"
"67","Budapest X ker",30900,30,"1","tégla","kozponti",4,"újszerű","1","Budapest",1,0,"Budapest"
"68","Budapest XIV ker",36800,37,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"69","Budapest XX ker",21990,38,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"70","Budapest VI ker",20900,21,"1","tégla","gaz",3,"újszerű","1","Budapest",1,0,"Budapest"
"71","Budapest VII ker",35500,42,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"72","Budapest VI ker",28900,27,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"73","Budapest VII ker",35500,42,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
